1-cysPrx_C	PF10417.11	40
120_Rick_ant	PF12574.10	238
12TM_1	PF09847.11	449
14-3-3	PF00244.22	222
17kDa_Anti_2	PF16998.7	116
2-Hacid_dh	PF00389.32	134
2-Hacid_dh_C	PF02826.21	178
2-oxoacid_dh	PF00198.25	233
2-oxogl_dehyd_N	PF16078.7	41
2-ph_phosp	PF04029.16	226
2-thiour_desulf	PF04463.14	137
23ISL	PF16620.7	162
23S_rRNA_IVP	PF05635.13	106
2CSK_N	PF08521.12	143
2C_adapt	PF08793.12	35
2EXR	PF20150.1	99
2Fe-2S_Ferredox	PF11591.10	34
2Fe-2S_thioredx	PF01257.21	145
2H-phosphodiest	PF08975.12	116
2HCT	PF03390.17	416
2OG-FeII_Oxy	PF03171.22	101
2OG-FeII_Oxy_2	PF13532.8	194
2OG-FeII_Oxy_3	PF13640.8	96
2OG-FeII_Oxy_4	PF13661.8	98
2OG-FeII_Oxy_5	PF13759.8	101
2OG-Fe_Oxy_2	PF10014.11	191
2TM	PF13239.8	78
2_5_RNA_ligase2	PF13563.8	153
3-alpha	PF03475.16	44
3-dmu-9_3-mt	PF06983.15	116
3-HAO	PF06052.14	151
3-PAP	PF12578.10	132
30K_MP_core	PF17644.3	138
30K_MP_C_Ter	PF11330.10	242
3A	PF00803.20	236
3Beta_HSD	PF01073.21	280
3D	PF06725.13	75
3H	PF02829.16	97
3HBOH	PF10605.11	689
3HCDH	PF00725.24	97
3HCDH_N	PF02737.20	180
3HCDH_RFF	PF18321.3	69
40S_S4_C	PF16121.7	48
40S_SA_C	PF16122.7	95
4F5	PF04419.16	38
4HB	PF17947.3	78
4HBT	PF03061.24	79
4HBT_2	PF13279.8	123
4HBT_3	PF13622.8	250
4HB_MCP_1	PF12729.9	181
4HFCP_synth	PF04476.15	228
4HPAD_g_N	PF18671.3	31
4PPT_N	PF17837.3	68
4_1_CTD	PF05902.15	107
5-FTHF_cyc-lig	PF01812.22	187
5-nucleotidase	PF06189.14	266
53-BP1_Tudor	PF09038.12	122
5HT_transport_N	PF03491.15	41
5TM-5TMR_LYT	PF07694.14	168
5_3_exonuc	PF01367.22	97
5_3_exonuc_N	PF02739.18	159
5_nucleotid	PF05761.16	461
5_nucleotid_C	PF02872.20	158
60KD_IMP	PF02096.22	166
6PF2K	PF01591.20	223
6PGD	PF00393.21	290
7kD_DNA_binding	PF02294.20	58
7TM-7TMR_HD	PF07698.13	193
7TMR-DISMED2	PF07696.13	134
7TMR-DISM_7TM	PF07695.13	205
7TMR-HDED	PF07697.13	220
7tm_1	PF00001.23	263
7tm_2	PF00002.26	246
7tm_3	PF00003.24	223
7tm_4	PF13853.8	280
7tm_6	PF02949.22	313
7tm_7	PF08395.14	371
7TM_GPCR_Sra	PF02117.18	328
7TM_GPCR_Srab	PF10292.11	324
7TM_GPCR_Srb	PF02175.18	236
7TM_GPCR_Srbc	PF10316.11	275
7TM_GPCR_Srd	PF10317.11	292
7TM_GPCR_Srh	PF10318.11	302
7TM_GPCR_Sri	PF10327.11	303
7TM_GPCR_Srj	PF10319.11	310
7TM_GPCR_Srsx	PF10320.11	257
7TM_GPCR_Srt	PF10321.11	313
7TM_GPCR_Sru	PF10322.11	304
7TM_GPCR_Srv	PF10323.11	283
7TM_GPCR_Srw	PF10324.11	319
7TM_GPCR_Srx	PF10328.11	263
7TM_GPCR_Srz	PF10325.11	266
7TM_GPCR_Str	PF10326.11	307
7TM_transglut	PF14402.8	248
8TM_micro	PF17028.7	255
A-2_8-polyST	PF07388.13	310
A1_Propeptide	PF07966.14	29
A2L_zn_ribbon	PF08792.12	33
A2M	PF00207.24	92
A2M_BRD	PF07703.16	138
A2M_recep	PF07677.16	94
AA9	PF03443.16	205
AAA	PF00004.31	132
AAA-ATPase_like	PF09820.11	280
AAA_10	PF12846.9	362
AAA_11	PF13086.8	261
AAA_12	PF13087.8	199
AAA_13	PF13166.8	713
AAA_14	PF13173.8	130
AAA_15	PF13175.8	374
AAA_16	PF13191.8	170
AAA_17	PF13207.8	136
AAA_18	PF13238.8	129
AAA_19	PF13245.8	147
AAA_2	PF07724.16	171
AAA_21	PF13304.8	304
AAA_22	PF13401.8	137
AAA_23	PF13476.8	200
AAA_24	PF13479.8	196
AAA_25	PF13481.8	194
AAA_26	PF13500.8	198
AAA_27	PF13514.8	207
AAA_28	PF13521.8	163
AAA_29	PF13555.8	61
AAA_3	PF07726.13	131
AAA_30	PF13604.8	192
AAA_31	PF13614.8	177
AAA_32	PF13654.8	513
AAA_33	PF13671.8	143
AAA_34	PF13872.8	303
AAA_35	PF14516.8	331
